mem_no,ord_no,ord_dt
567,13369,01/03/2024
567,13370,01/03/2024
567,13371,29/01/2024
567,13372,05/02/2024
567,13373,19/02/2024
567,13374,26/03/2024
567,13375,16/03/2024
567,13376,01/02/2024
567,13377,18/02/2024
567,13378,18/02/2024
567,13379,18/02/2024
567,13380,19/02/2024
567,13381,11/02/2024
567,13382,25/02/2024
567,13383,22/03/2024
567,13384,23/02/2024
567,13385,04/02/2024
567,13386,05/03/2024
567,13387,05/03/2024
567,13388,21/02/2024
567,13389,06/03/2024
567,13390,26/02/2024
567,13391,16/03/2024
567,13392,26/02/2024
567,13393,19/03/2024
567,13394,19/03/2024
567,13395,22/02/2024
567,13396,18/03/2024
567,13397,05/02/2024
567,13398,18/03/2024
567,13399,03/02/2024
567,13400,19/02/2024
567,13401,04/03/2024
567,13402,19/03/2024
567,13403,19/03/2024
567,13404,11/03/2024
567,13405,16/02/2024
567,13406,13/03/2024
567,13407,24/03/2024
567,13408,24/03/2024
567,13409,28/01/2024
567,13410,11/03/2024
567,13411,07/03/2024
567,13412,12/03/2024
567,13413,14/02/2024
567,13414,14/02/2024
567,13415,16/02/2024
216,13416,29/01/2024
216,13417,14/03/2024
216,13418,26/03/2024
216,13419,21/02/2024
216,13420,17/03/2024
216,13421,19/02/2024
216,13422,03/03/2024
216,13423,10/03/2024
216,13424,28/03/2024
216,13425,24/03/2024
216,13426,13/03/2024
216,13427,24/02/2024
216,13428,16/03/2024
216,13429,18/03/2024
216,13430,04/02/2024
216,13431,04/02/2024
216,13432,02/02/2024
216,13433,21/03/2024
216,13434,03/02/2024
216,13435,29/01/2024
216,13436,17/02/2024
216,13437,12/03/2024
216,13438,07/03/2024
216,13439,30/03/2024
216,13440,16/02/2024
830,13441,31/01/2024
830,13442,02/02/2024
830,13443,17/03/2024
830,13444,22/01/2024
830,13445,19/01/2024
830,13446,24/02/2024
830,13447,10/03/2024
830,13448,09/02/2024
830,13449,14/02/2024
291,13450,25/02/2024
291,13451,30/01/2024
291,13452,23/01/2024
291,13453,28/01/2024
291,13454,28/03/2024
291,13455,30/01/2024
291,13456,09/01/2024
291,13457,21/02/2024
291,13458,01/02/2024
291,13459,19/02/2024
291,13460,10/03/2024
291,13461,10/03/2024
291,13462,22/02/2024
291,13463,22/03/2024
291,13464,06/03/2024
291,13465,23/03/2024
291,13466,24/02/2024
291,13467,18/03/2024
291,13468,18/03/2024
291,13469,28/02/2024
291,13470,10/03/2024
291,13471,20/01/2024
291,13472,04/02/2024
291,13473,02/02/2024
291,13474,05/03/2024
291,13475,18/02/2024
291,13476,18/02/2024
291,13477,19/03/2024
291,13478,17/02/2024
291,13479,13/01/2024
291,13480,10/02/2024
291,13481,16/02/2024
291,13482,24/01/2024
291,13483,24/03/2024
291,13484,24/03/2024
291,13485,31/03/2024
291,13486,28/01/2024
291,13487,11/01/2024
291,13488,30/01/2024
291,13489,11/03/2024
291,13490,08/02/2024
291,13491,21/01/2024
291,13492,12/03/2024
291,13493,26/02/2024
291,13494,07/03/2024
291,13495,18/01/2024
291,13496,16/01/2024
291,13497,14/02/2024
291,13498,15/02/2024
291,13499,15/01/2024
384,13500,22/01/2024
384,13501,22/01/2024
471,13502,11/02/2024
471,13503,03/02/2024
471,13504,13/01/2024
471,13505,10/01/2024
471,13506,05/01/2024
471,13507,31/03/2024
459,13508,16/01/2024
89,13509,25/01/2024
89,13510,25/01/2024
72,13511,16/01/2024
72,13512,16/01/2024
413,13513,28/01/2024
413,13514,27/03/2024
413,13515,01/03/2024
413,13516,12/02/2024
73,13517,28/01/2024
73,13518,07/02/2024
238,13519,27/01/2024
682,13520,07/01/2024
69,13521,01/03/2024
69,13522,08/03/2024
69,13523,05/01/2024
723,13524,04/01/2024
723,13525,01/03/2024
723,13526,06/01/2024
723,13527,11/03/2024
199,13528,04/03/2024
199,13529,04/02/2024
199,13530,28/01/2024
199,13531,18/03/2024
767,13532,16/01/2024
807,13533,05/01/2024
807,13534,07/02/2024
437,13535,18/03/2024
437,13536,04/02/2024
437,13537,08/01/2024
476,13538,24/02/2024
476,13539,27/01/2024
476,13540,17/03/2024
903,13541,29/01/2024
903,13542,25/01/2024
903,13543,07/01/2024
903,13544,09/01/2024
387,13545,10/01/2024
387,13546,11/01/2024
387,13547,11/01/2024
387,13548,11/01/2024
976,13549,17/01/2024
976,13550,19/02/2024
976,13551,26/03/2024
976,13552,18/01/2024
976,13553,07/01/2024
976,13554,04/02/2024
976,13555,06/03/2024
976,13556,05/03/2024
976,13557,30/03/2024
542,13558,19/01/2024
542,13559,15/01/2024
64,13560,29/01/2024
64,13561,31/01/2024
64,13562,05/02/2024
64,13563,14/01/2024
628,13564,06/03/2024
628,13565,06/03/2024
628,13566,25/01/2024
506,13567,23/01/2024
506,13568,29/01/2024
506,13569,12/02/2024
506,13570,06/03/2024
506,13571,06/02/2024
506,13572,17/02/2024
329,13573,12/02/2024
329,13574,03/03/2024
329,13575,25/03/2024
329,13576,18/03/2024
329,13577,18/03/2024
329,13578,07/02/2024
329,13579,04/02/2024
329,13580,13/01/2024
329,13581,14/01/2024
329,13582,30/01/2024
341,13583,14/01/2024
341,13584,14/01/2024
514,13585,03/01/2024
965,13586,29/03/2024
965,13587,22/01/2024
965,13588,12/03/2024
125,13589,25/01/2024
115,13590,08/03/2024
115,13591,25/01/2024
115,13592,12/02/2024
115,13593,12/02/2024
899,13594,10/03/2024
899,13595,10/03/2024
899,13596,20/03/2024
899,13597,15/01/2024
839,13598,08/03/2024
839,13599,24/01/2024
982,13600,08/01/2024
982,13601,03/02/2024
982,13602,15/01/2024
982,13603,23/01/2024
214,13604,06/01/2024
214,13605,13/01/2024
214,13606,16/01/2024
158,13607,11/02/2024
158,13608,19/02/2024
158,13609,09/02/2024
158,13610,19/03/2024
158,13611,10/02/2024
158,13612,10/02/2024
158,13613,29/01/2024
366,13614,26/02/2024
366,13615,19/02/2024
366,13616,11/02/2024
366,13617,24/01/2024
482,13618,30/01/2024
18,13619,05/03/2024
18,13620,23/03/2024
18,13621,15/01/2024
18,13622,24/01/2024
16,13623,01/03/2024
16,13624,14/03/2024
16,13625,06/02/2024
16,13626,15/01/2024
694,13627,11/01/2024
433,13628,25/03/2024
433,13629,19/03/2024
433,13630,10/02/2024
433,13631,29/01/2024
352,13632,28/01/2024
352,13633,18/01/2024
352,13634,03/02/2024
352,13635,16/01/2024
276,13636,27/01/2024
276,13637,04/03/2024
276,13638,18/01/2024
190,13639,28/03/2024
190,13640,29/01/2024
167,13641,31/01/2024
167,13642,23/02/2024
538,13643,27/03/2024
538,13644,06/01/2024
538,13645,28/03/2024
466,13646,14/03/2024
466,13647,08/03/2024
466,13648,01/03/2024
466,13649,15/02/2024
466,13650,19/03/2024
466,13651,09/02/2024
466,13652,05/03/2024
466,13653,03/01/2024
466,13654,12/01/2024
466,13655,12/01/2024
466,13656,28/03/2024
466,13657,31/03/2024
466,13658,26/01/2024
466,13659,08/01/2024
62,13660,18/01/2024
62,13661,14/01/2024
284,13662,31/03/2024
284,13663,22/01/2024
284,13664,22/01/2024
284,13665,31/03/2024
988,13666,23/01/2024
521,13667,04/02/2024
521,13668,28/02/2024
521,13669,08/01/2024
660,13670,15/01/2024
660,13671,15/01/2024
130,13672,01/01/2024
198,13673,14/01/2024
551,13674,24/03/2024
551,13675,27/01/2024
551,13676,07/03/2024
551,13677,28/01/2024
517,13678,05/01/2024
101,13679,17/01/2024
101,13680,04/02/2024
101,13681,07/01/2024
819,13682,25/02/2024
819,13683,17/01/2024
819,13684,26/03/2024
819,13685,25/01/2024
819,13686,11/03/2024
251,13687,10/02/2024
251,13688,29/01/2024
251,13689,31/01/2024
251,13690,13/02/2024
251,13691,30/01/2024
251,13692,09/02/2024
251,13693,11/01/2024
251,13694,18/01/2024
251,13695,16/01/2024
411,13696,27/01/2024
703,13697,28/01/2024
703,13698,01/01/2024
703,13699,19/01/2024
835,13700,31/01/2024
835,13701,20/02/2024
835,13702,20/02/2024
835,13703,02/02/2024
835,13704,21/02/2024
835,13705,01/02/2024
835,13706,30/01/2024
835,13707,28/02/2024
835,13708,25/01/2024
835,13709,26/01/2024
5,13710,22/01/2024
144,13711,16/03/2024
144,13712,26/01/2024
144,13713,27/03/2024
144,13714,20/03/2024
144,13715,12/01/2024
144,13716,14/02/2024
626,13717,28/01/2024
626,13718,26/03/2024
626,13719,05/02/2024
626,13720,01/02/2024
626,13721,19/02/2024
626,13722,03/02/2024
626,13723,18/02/2024
626,13724,21/01/2024
626,13725,21/01/2024
879,13726,31/01/2024
879,13727,31/01/2024
879,13728,19/02/2024
879,13729,22/02/2024
117,13730,25/01/2024
492,13731,19/01/2024
9,13732,18/02/2024
9,13733,22/01/2024
9,13734,22/01/2024
9,13735,07/02/2024
9,13736,28/01/2024
9,13737,17/02/2024
9,13738,08/02/2024
374,13739,15/03/2024
374,13740,09/03/2024
374,13741,22/01/2024
912,13742,23/01/2024
912,13743,17/01/2024
912,13744,27/02/2024
84,13745,27/01/2024
84,13746,25/01/2024
297,13747,24/02/2024
297,13748,27/02/2024
297,13749,25/01/2024
892,13750,03/03/2024
892,13751,08/01/2024
351,13752,14/01/2024
480,13753,14/03/2024
480,13754,23/01/2024
21,13755,01/01/2024
706,13756,11/02/2024
706,13757,17/01/2024
706,13758,22/03/2024
706,13759,11/02/2024
706,13760,21/03/2024
706,13761,17/02/2024
252,13762,20/02/2024
252,13763,06/01/2024
252,13764,04/01/2024
252,13765,20/01/2024
252,13766,27/01/2024
252,13767,10/02/2024
252,13768,07/02/2024
252,13769,08/01/2024
49,13770,08/02/2024
49,13771,10/03/2024
49,13772,09/01/2024
49,13773,08/02/2024
901,13774,28/01/2024
547,13775,12/01/2024
415,13776,11/03/2024
415,13777,13/03/2024
415,13778,14/01/2024
415,13779,11/03/2024
914,13780,28/01/2024
914,13781,01/03/2024
914,13782,27/01/2024
914,13783,08/02/2024
914,13784,09/03/2024
914,13785,26/03/2024
914,13786,14/03/2024
914,13787,03/03/2024
914,13788,21/02/2024
914,13789,17/03/2024
914,13790,22/03/2024
914,13791,22/03/2024
914,13792,22/01/2024
914,13793,06/03/2024
914,13794,13/02/2024
914,13795,13/02/2024
914,13796,22/02/2024
914,13797,07/02/2024
914,13798,07/02/2024
914,13799,07/02/2024
914,13800,02/02/2024
914,13801,09/02/2024
914,13802,13/01/2024
914,13803,05/03/2024
914,13804,03/01/2024
914,13805,03/01/2024
914,13806,18/02/2024
914,13807,18/02/2024
914,13808,10/02/2024
914,13809,13/01/2024
914,13810,24/01/2024
914,13811,24/01/2024
914,13812,20/01/2024
914,13813,30/03/2024
914,13814,22/01/2024
914,13815,20/01/2024
914,13816,11/03/2024
914,13817,23/01/2024
914,13818,18/03/2024
914,13819,02/03/2024
914,13820,15/01/2024
914,13821,15/01/2024
569,13822,26/02/2024
569,13823,28/01/2024
917,13824,13/01/2024
153,13825,10/02/2024
153,13826,29/01/2024
153,13827,31/01/2024
153,13828,09/03/2024
153,13829,21/03/2024
153,13830,04/03/2024
153,13831,03/03/2024
153,13832,09/01/2024
153,13833,21/02/2024
153,13834,21/02/2024
153,13835,21/02/2024
153,13836,17/03/2024
153,13837,23/02/2024
153,13838,24/03/2024
153,13839,06/02/2024
153,13840,11/02/2024
153,13841,11/02/2024
153,13842,13/03/2024
153,13843,22/03/2024
153,13844,22/03/2024
153,13845,15/03/2024
153,13846,05/03/2024
153,13847,05/03/2024
153,13848,06/03/2024
153,13849,13/02/2024
153,13850,06/01/2024
153,13851,24/02/2024
153,13852,16/03/2024
153,13853,22/02/2024
153,13854,07/02/2024
153,13855,28/02/2024
153,13856,02/03/2024
153,13857,08/01/2024
153,13858,27/01/2024
153,13859,03/02/2024
153,13860,20/02/2024
153,13861,25/01/2024
153,13862,20/03/2024
153,13863,24/03/2024
153,13864,23/03/2024
153,13865,14/01/2024
153,13866,26/01/2024
153,13867,20/01/2024
153,13868,07/03/2024
153,13869,18/03/2024
153,13870,18/03/2024
153,13871,23/01/2024
153,13872,16/01/2024
153,13873,14/02/2024
153,13874,30/03/2024
153,13875,16/02/2024
153,13876,11/03/2024
544,13877,19/01/2024
831,13878,25/01/2024
831,13879,11/03/2024
831,13880,04/01/2024
296,13881,11/01/2024
296,13882,19/01/2024
442,13883,03/01/2024
598,13884,22/02/2024
598,13885,27/01/2024
598,13886,27/01/2024
510,13887,29/01/2024
510,13888,18/01/2024
510,13889,21/03/2024
510,13890,09/01/2024
510,13891,19/01/2024
510,13892,13/02/2024
510,13893,06/01/2024
510,13894,03/01/2024
510,13895,28/01/2024
510,13896,15/02/2024
171,13897,21/03/2024
171,13898,03/01/2024
707,13899,29/01/2024
707,13900,16/03/2024
707,13901,18/02/2024
707,13902,18/02/2024
707,13903,27/02/2024
707,13904,22/02/2024
707,13905,12/03/2024
707,13906,25/02/2024
430,13907,26/02/2024
430,13908,05/01/2024
430,13909,29/01/2024
610,13910,27/03/2024
610,13911,19/02/2024
610,13912,06/03/2024
610,13913,20/02/2024
610,13914,20/02/2024
610,13915,05/02/2024
610,13916,14/03/2024
610,13917,04/03/2024
610,13918,17/03/2024
610,13919,17/03/2024
610,13920,03/03/2024
610,13921,18/02/2024
610,13922,18/02/2024
610,13923,23/02/2024
610,13924,23/02/2024
610,13925,25/03/2024
610,13926,01/02/2024
610,13927,22/02/2024
610,13928,22/02/2024
610,13929,13/03/2024
610,13930,05/03/2024
610,13931,19/03/2024
610,13932,04/02/2024
610,13933,27/01/2024
610,13934,17/02/2024
610,13935,20/03/2024
610,13936,10/02/2024
610,13937,17/02/2024
610,13938,12/03/2024
610,13939,24/01/2024
610,13940,24/01/2024
309,13941,14/01/2024
684,13942,26/01/2024
206,13943,29/01/2024
206,13944,06/01/2024
267,13945,28/01/2024
267,13946,29/01/2024
267,13947,18/01/2024
267,13948,22/02/2024
267,13949,17/03/2024
267,13950,03/02/2024
267,13951,14/02/2024
267,13952,20/01/2024
267,13953,22/01/2024
559,13954,19/01/2024
559,13955,26/01/2024
577,13956,12/02/2024
577,13957,31/01/2024
577,13958,07/01/2024
577,13959,10/03/2024
577,13960,25/01/2024
577,13961,25/02/2024
577,13962,05/03/2024
577,13963,28/02/2024
577,13964,26/02/2024
577,13965,04/03/2024
577,13966,10/01/2024
577,13967,10/02/2024
577,13968,15/01/2024
577,13969,09/01/2024
577,13970,16/02/2024
580,13971,17/01/2024
580,13972,17/01/2024
580,13973,18/01/2024
645,13974,24/01/2024
162,13975,13/03/2024
162,13976,01/01/2024
162,13977,26/01/2024
162,13978,05/01/2024
162,13979,20/03/2024
162,13980,13/01/2024
162,13981,26/01/2024
162,13982,08/01/2024
162,13983,08/01/2024
10,13984,15/01/2024
10,13985,15/01/2024
322,13986,06/02/2024
322,13987,22/01/2024
322,13988,30/01/2024
322,13989,08/01/2024
322,13990,06/02/2024
322,13991,18/03/2024
487,13992,17/01/2024
487,13993,19/03/2024
152,13994,25/03/2024
152,13995,18/03/2024
152,13996,15/01/2024
152,13997,18/03/2024
152,13998,15/01/2024
934,13999,04/01/2024
934,14000,14/01/2024
986,14001,06/01/2024
986,14002,06/01/2024
347,14003,12/02/2024
347,14004,06/03/2024
347,14005,21/03/2024
347,14006,04/03/2024
347,14007,09/01/2024
347,14008,17/03/2024
347,14009,08/03/2024
347,14010,13/03/2024
347,14011,22/01/2024
347,14012,06/03/2024
347,14013,13/02/2024
347,14014,16/03/2024
347,14015,07/03/2024
347,14016,25/01/2024
347,14017,03/02/2024
347,14018,05/01/2024
347,14019,13/01/2024
347,14020,13/01/2024
347,14021,17/02/2024
347,14022,14/01/2024
347,14023,17/02/2024
347,14024,19/01/2024
347,14025,07/01/2024
347,14026,18/01/2024
347,14027,16/01/2024
873,14028,14/03/2024
873,14029,21/02/2024
873,14030,01/02/2024
873,14031,25/03/2024
873,14032,25/03/2024
873,14033,25/03/2024
873,14034,22/03/2024
873,14035,25/02/2024
873,14036,13/02/2024
873,14037,24/02/2024
873,14038,17/02/2024
873,14039,07/03/2024
873,14040,18/01/2024
428,14041,02/01/2024
428,14042,28/01/2024
428,14043,04/01/2024
922,14044,03/01/2024
922,14045,03/01/2024
922,14046,13/01/2024
922,14047,08/02/2024
432,14048,05/03/2024
432,14049,14/01/2024
432,14050,15/01/2024
281,14051,12/02/2024
281,14052,31/01/2024
281,14053,20/02/2024
281,14054,05/02/2024
281,14055,05/02/2024
281,14056,05/02/2024
281,14057,25/02/2024
281,14058,25/02/2024
281,14059,04/02/2024
281,14060,16/03/2024
281,14061,26/01/2024
281,14062,08/01/2024
281,14063,09/02/2024
281,14064,26/02/2024
281,14065,26/02/2024
281,14066,15/03/2024
281,14067,23/01/2024
281,14068,18/01/2024
281,14069,15/02/2024
281,14070,24/01/2024
652,14071,17/01/2024
905,14072,20/01/2024
460,14073,20/01/2024
896,14074,22/01/2024
243,14075,20/02/2024
243,14076,23/02/2024
243,14077,22/02/2024
243,14078,07/02/2024
243,14079,13/01/2024
243,14080,13/03/2024
243,14081,09/02/2024
243,14082,13/01/2024
243,14083,28/03/2024
243,14084,20/01/2024
243,14085,07/03/2024
243,14086,14/02/2024
243,14087,14/02/2024
93,14088,11/02/2024
93,14089,01/03/2024
93,14090,27/03/2024
93,14091,19/02/2024
93,14092,05/02/2024
93,14093,05/02/2024
93,14094,05/02/2024
93,14095,19/02/2024
93,14096,01/03/2024
93,14097,11/02/2024
93,14098,04/02/2024
93,14099,04/03/2024
93,14100,10/01/2024
93,14101,17/02/2024
303,14102,01/01/2024
303,14103,14/01/2024
315,14104,14/01/2024
85,14105,28/01/2024
85,14106,05/02/2024
85,14107,21/01/2024
165,14108,22/01/2024
789,14109,18/01/2024
139,14110,21/03/2024
139,14111,23/03/2024
139,14112,21/02/2024
139,14113,19/03/2024
139,14114,05/01/2024
139,14115,08/02/2024
776,14116,22/01/2024
776,14117,21/03/2024
589,14118,28/01/2024
742,14119,11/02/2024
742,14120,08/01/2024
742,14121,03/02/2024
742,14122,18/01/2024
742,14123,18/01/2024
681,14124,28/01/2024
681,14125,27/01/2024
681,14126,19/02/2024
681,14127,03/03/2024
681,14128,05/02/2024
681,14129,15/02/2024
681,14130,06/02/2024
681,14131,06/02/2024
681,14132,09/03/2024
681,14133,18/03/2024
681,14134,04/02/2024
681,14135,04/03/2024
681,14136,16/02/2024
681,14137,04/01/2024
681,14138,08/02/2024
365,14139,17/01/2024
365,14140,23/02/2024
365,14141,12/01/2024
365,14142,14/03/2024
961,14143,17/01/2024
961,14144,05/02/2024
961,14145,14/03/2024
961,14146,08/03/2024
961,14147,23/02/2024
961,14148,01/02/2024
961,14149,22/02/2024
961,14150,01/01/2024
961,14151,07/02/2024
961,14152,25/01/2024
961,14153,05/01/2024
961,14154,13/01/2024
961,14155,13/01/2024
961,14156,12/01/2024
961,14157,24/03/2024
961,14158,11/03/2024
961,14159,08/02/2024
961,14160,12/02/2024
961,14161,14/03/2024
961,14162,19/01/2024
961,14163,15/02/2024
104,14164,26/01/2024
104,14165,26/01/2024
107,14166,22/01/2024
107,14167,25/01/2024
131,14168,06/01/2024
131,14169,08/01/2024
131,14170,16/02/2024
806,14171,14/01/2024
806,14172,16/02/2024
292,14173,26/02/2024
292,14174,24/02/2024
292,14175,26/02/2024
292,14176,28/01/2024
827,14177,29/01/2024
827,14178,17/01/2024
827,14179,17/01/2024
676,14180,13/01/2024
676,14181,21/01/2024
676,14182,15/01/2024
314,14183,28/01/2024
314,14184,25/01/2024
314,14185,14/01/2024
638,14186,21/03/2024
638,14187,08/03/2024
638,14188,12/01/2024
616,14189,11/03/2024
616,14190,04/01/2024
627,14191,31/01/2024
627,14192,02/03/2024
627,14193,28/01/2024
470,14194,22/01/2024
740,14195,01/02/2024
740,14196,27/01/2024
502,14197,31/01/2024
820,14198,06/01/2024
820,14199,07/01/2024
168,14200,07/01/2024
299,14201,26/02/2024
299,14202,12/02/2024
299,14203,12/02/2024
299,14204,18/02/2024
299,14205,22/03/2024
299,14206,05/03/2024
299,14207,12/01/2024
299,14208,12/03/2024
299,14209,16/01/2024
32,14210,07/01/2024
395,14211,07/01/2024
53,14212,29/01/2024
53,14213,02/02/2024
53,14214,01/02/2024
53,14215,01/02/2024
53,14216,27/02/2024
53,14217,07/02/2024
53,14218,28/02/2024
53,14219,27/01/2024
53,14220,02/02/2024
53,14221,14/01/2024
53,14222,20/01/2024
53,14223,30/01/2024
53,14224,08/02/2024
53,14225,31/01/2024
53,14226,07/01/2024
53,14227,02/01/2024
53,14228,24/01/2024
675,14229,28/03/2024
675,14230,31/01/2024
675,14231,04/03/2024
675,14232,01/02/2024
675,14233,25/03/2024
675,14234,05/03/2024
675,14235,31/01/2024
675,14236,07/03/2024
915,14237,25/01/2024
915,14238,10/01/2024
915,14239,20/01/2024
147,14240,22/01/2024
147,14241,05/03/2024
147,14242,16/01/2024
481,14243,11/02/2024
481,14244,01/03/2024
481,14245,12/02/2024
481,14246,29/01/2024
481,14247,19/02/2024
481,14248,25/01/2024
481,14249,04/02/2024
481,14250,05/03/2024
481,14251,21/02/2024
481,14252,28/02/2024
481,14253,28/02/2024
481,14254,27/01/2024
481,14255,09/02/2024
481,14256,07/02/2024
481,14257,28/01/2024
481,14258,14/02/2024
688,14259,15/03/2024
688,14260,21/03/2024
688,14261,23/01/2024
260,14262,26/01/2024
717,14263,29/03/2024
717,14264,03/03/2024
717,14265,10/03/2024
717,14266,17/03/2024
717,14267,24/01/2024
717,14268,20/01/2024
717,14269,17/02/2024
439,14270,10/03/2024
439,14271,25/01/2024
439,14272,04/02/2024
439,14273,18/02/2024
787,14274,15/03/2024
787,14275,03/02/2024
787,14276,17/02/2024
787,14277,12/02/2024
787,14278,16/01/2024
787,14279,16/01/2024
279,14280,26/03/2024
279,14281,25/03/2024
279,14282,06/01/2024
279,14283,04/01/2024
279,14284,15/02/2024
279,14285,16/02/2024
13,14286,26/01/2024
488,14287,06/01/2024
488,14288,16/01/2024
849,14289,05/02/2024
849,14290,05/02/2024
849,14291,08/01/2024
88,14292,14/01/2024
712,14293,06/02/2024
712,14294,25/01/2024
712,14295,30/01/2024
556,14296,27/01/2024
556,14297,27/01/2024
556,14298,13/03/2024
556,14299,28/02/2024
556,14300,27/01/2024
556,14301,25/01/2024
556,14302,25/01/2024
556,14303,11/01/2024
556,14304,11/03/2024
556,14305,08/02/2024
556,14306,23/01/2024
993,14307,23/01/2024
975,14308,11/02/2024
975,14309,29/01/2024
975,14310,26/03/2024
975,14311,11/03/2024
975,14312,25/02/2024
95,14313,12/02/2024
95,14314,31/01/2024
95,14315,17/03/2024
95,14316,08/03/2024
95,14317,01/03/2024
95,14318,01/02/2024
95,14319,25/03/2024
95,14320,15/03/2024
95,14321,06/03/2024
95,14322,13/02/2024
95,14323,16/03/2024
95,14324,02/02/2024
95,14325,09/02/2024
95,14326,20/02/2024
95,14327,25/01/2024
95,14328,20/03/2024
95,14329,10/02/2024
95,14330,29/01/2024
95,14331,12/03/2024
95,14332,17/02/2024
95,14333,17/02/2024
95,14334,30/03/2024
95,14335,30/03/2024
733,14336,26/02/2024
733,14337,01/01/2024
733,14338,27/02/2024
733,14339,04/01/2024
234,14340,10/02/2024
234,14341,01/02/2024
234,14342,02/02/2024
234,14343,26/01/2024
913,14344,09/03/2024
913,14345,15/03/2024
913,14346,09/02/2024
913,14347,03/01/2024
913,14348,21/03/2024
913,14349,29/01/2024
817,14350,22/03/2024
817,14351,29/01/2024
722,14352,19/01/2024
722,14353,19/01/2024
57,14354,12/02/2024
57,14355,27/01/2024
57,14356,08/02/2024
57,14357,25/02/2024
57,14358,24/02/2024
57,14359,03/02/2024
57,14360,12/01/2024
894,14361,21/02/2024
894,14362,21/02/2024
894,14363,24/03/2024
894,14364,03/01/2024
894,14365,18/03/2024
894,14366,24/03/2024
894,14367,23/01/2024
590,14368,06/01/2024
590,14369,16/01/2024
3,14370,08/01/2024
853,14371,29/01/2024
985,14372,22/01/2024
985,14373,24/02/2024
985,14374,10/02/2024
985,14375,10/02/2024
985,14376,30/01/2024
985,14377,23/01/2024
985,14378,19/01/2024
985,14379,19/01/2024
985,14380,23/01/2024
985,14381,25/02/2024
851,14382,29/01/2024
851,14383,08/03/2024
851,14384,08/03/2024
851,14385,08/03/2024
851,14386,08/03/2024
851,14387,08/03/2024
851,14388,28/02/2024
851,14389,13/01/2024
851,14390,05/01/2024
851,14391,18/02/2024
851,14392,04/01/2024
851,14393,23/01/2024
851,14394,15/02/2024
126,14395,30/01/2024
210,14396,17/01/2024
509,14397,08/01/2024
440,14398,20/03/2024
440,14399,25/01/2024
906,14400,25/01/2024
906,14401,25/01/2024
160,14402,21/01/2024
17,14403,13/01/2024
173,14404,22/01/2024
173,14405,01/01/2024
173,14406,02/03/2024
173,14407,24/01/2024
173,14408,26/01/2024
173,14409,11/03/2024
87,14410,31/03/2024
87,14411,15/02/2024
87,14412,15/01/2024
87,14413,30/03/2024
87,14414,23/01/2024
714,14415,09/01/2024
714,14416,01/03/2024
323,14417,15/02/2024
323,14418,25/01/2024
61,14419,26/02/2024
61,14420,19/03/2024
61,14421,31/03/2024
61,14422,14/01/2024
61,14423,20/01/2024
70,14424,25/01/2024
35,14425,17/03/2024
35,14426,10/03/2024
35,14427,11/02/2024
35,14428,15/03/2024
35,14429,04/02/2024
35,14430,28/02/2024
35,14431,20/01/2024
35,14432,29/01/2024
35,14433,31/01/2024
35,14434,18/01/2024
235,14435,13/01/2024
235,14436,14/01/2024
235,14437,21/01/2024
862,14438,12/03/2024
862,14439,18/02/2024
862,14440,25/03/2024
862,14441,22/01/2024
862,14442,21/01/2024
228,14443,23/01/2024
306,14444,02/01/2024
454,14445,09/01/2024
454,14446,13/01/2024
454,14447,07/01/2024
454,14448,18/01/2024
454,14449,02/01/2024
650,14450,14/01/2024
869,14451,08/02/2024
869,14452,09/01/2024
869,14453,01/03/2024
869,14454,24/02/2024
869,14455,02/01/2024
869,14456,10/01/2024
869,14457,07/03/2024
869,14458,21/01/2024
23,14459,23/01/2024
23,14460,23/01/2024
534,14461,16/01/2024
435,14462,23/01/2024
435,14463,23/01/2024
748,14464,13/01/2024
748,14465,11/01/2024
31,14466,27/03/2024
31,14467,05/02/2024
31,14468,20/02/2024
31,14469,21/03/2024
31,14470,06/03/2024
31,14471,27/01/2024
31,14472,10/02/2024
31,14473,23/01/2024
31,14474,31/01/2024
545,14475,03/01/2024
75,14476,24/03/2024
75,14477,23/02/2024
75,14478,02/03/2024
75,14479,11/03/2024
75,14480,17/02/2024
75,14481,12/03/2024
75,14482,28/01/2024
75,14483,16/02/2024
254,14484,17/01/2024
254,14485,03/01/2024
254,14486,13/01/2024
254,14487,26/01/2024
864,14488,26/01/2024
864,14489,26/01/2024
561,14490,08/01/2024
691,14491,24/01/2024
781,14492,10/01/2024
781,14493,12/03/2024
781,14494,07/01/2024
781,14495,24/01/2024
713,14496,11/02/2024
713,14497,04/02/2024
713,14498,13/02/2024
713,14499,02/03/2024
713,14500,10/03/2024
713,14501,14/01/2024
713,14502,20/01/2024
713,14503,18/01/2024
713,14504,18/03/2024
713,14505,21/01/2024
841,14506,21/01/2024
841,14507,21/01/2024
636,14508,18/03/2024
636,14509,04/03/2024
636,14510,04/03/2024
636,14511,11/03/2024
636,14512,11/03/2024
636,14513,28/01/2024
636,14514,02/01/2024
283,14515,01/03/2024
283,14516,22/03/2024
283,14517,04/03/2024
283,14518,03/01/2024
283,14519,03/01/2024
283,14520,21/03/2024
283,14521,18/02/2024
283,14522,18/03/2024
283,14523,11/02/2024
283,14524,24/01/2024
283,14525,11/02/2024
794,14526,28/02/2024
794,14527,21/01/2024
597,14528,31/01/2024
597,14529,21/02/2024
597,14530,23/02/2024
597,14531,13/01/2024
597,14532,26/01/2024
597,14533,11/01/2024
